"blkgroup","avgc_workinRegion","avgc_within150","avgc_25_employees","avgc_all","county"
"511259501003",16.1826877539705,29.3905173197996,25.2705283838551,30.9876337162568,"51125"
"511259501004",19.3216740650045,27.8066524219514,25.8333501886313,33.7859204784115,"51125"
"511259502001",19.9772100655209,31.3000652000633,29.8005577978229,35.2522826604408,"51125"
"511259502002",15.0638682027901,25.0218957309372,22.8875226600769,29.2544066039952,"51125"
"511259502003",17.5041221418009,27.7052372925813,23.9898229786342,33.3924650886436,"51125"
"511259502004",15.493766657531,22.950012709592,18.9960462964307,27.8403739237626,"51125"
"511259503001",13.6430967319825,27.6850988649555,23.178750160992,35.3172533054264,"51125"
"511259503002",16.5718463414189,30.6057276323672,27.3401213086237,45.6452289852984,"51125"
"511259503003",18.9155383645313,26.8208186807785,24.3432778203601,33.4454156903319,"51125"
"511259503004",17.5573373110282,32.4039908784202,30.1979066714678,37.5233764833816,"51125"
"515400002011",1.91960836713633,27.6470922278048,20.6036169325289,31.3269689580914,"51540"
"515400002012",1.52198674582505,21.9337882257202,18.9457671141588,24.7884712066698,"51540"
"515400002013",2.17342979414503,25.4192898815867,20.1317490478991,27.2851318315544,"51540"
"515400002021",1.79128093451377,30.2287122617824,23.4186497287725,33.221709084151,"51540"
"515400002022",1.64555389560431,35.5217918220547,25.3364664498579,36.8134502727107,"51540"
"515400002023",1.55120585950002,38.1022494264635,32.2495256912565,41.3986586034424,"51540"
"515400003021",2.78792702651219,15.8315969571186,14.0051047501295,18.444991850089,"51540"
"515400003022",3.26707955480947,15.8350938916403,14.0307183399828,17.7963995067736,"51540"
"515400004011",1.75070677399067,19.9760803286343,16.7184503679266,21.3695062742036,"51540"
"515400004012",2.67329633664506,22.3188682720834,17.2912718912492,24.3221509218105,"51540"
"515400004021",1.51394579501093,20.1468829571585,14.0037900954217,22.3587767178957,"51540"
"515400004022",2.08945849001489,13.6251578372262,11.7537000361714,14.9789495223858,"51540"
"515400004023",2.70560088871147,16.1422820979314,12.8765449584985,17.8783587729014,"51540"
"515400004024",2.67594156652819,15.3338707252348,14.6798489914054,18.3384485557708,"51540"
"515400005011",2.54340169759804,20.2125237363905,15.8158894076947,22.4706839390019,"51540"
"515400005012",2.07500936170792,20.2509531298067,16.4271646285863,21.7073383602201,"51540"
"515400005013",3.28069053515784,24.6978537933261,19.2956894112325,27.7915129104495,"51540"
"515400005021",3.2511161964132,19.3381442340376,16.8937995918166,22.2557242638693,"51540"
"515400005022",2.7075385128014,20.7790240523013,17.3079178872399,21.8210026339592,"51540"
"515400005023",3.48204681881628,15.2874377754596,16.0641558920344,19.5748756972321,"51540"
"515400005024",3.45020772494339,20.1187996225064,17.1318036586262,22.9380669639601,"51540"
"515400005025",2.63947246263204,21.0558920746138,18.0981178264103,31.0450585409076,"51540"
"515400006001",3.16920812419631,33.4265411788789,28.8456545563898,38.5518770707234,"51540"
"515400006002",6.34457248232001,34.1025212103551,29.0135943622125,37.6250511708642,"51540"
"515400007001",2.64452404211443,30.4625080709071,25.4675191234239,31.3010969128531,"51540"
"515400007002",2.68041568572013,26.4975542073277,21.7861593753262,32.340249482546,"51540"
"515400007003",5.8167605737397,35.6441969118885,30.1705163436274,41.9940621652569,"51540"
"515400007004",2.60792527612558,24.9502534293761,21.491002282722,26.4495632449574,"51540"
"515400008001",3.38449961056427,16.3909572086959,13.6111239681337,17.6792030075389,"51540"
"515400008002",2.18040990327829,17.7142475113189,13.0005870772028,19.9712173307515,"51540"
"515400008003",1.72400735693478,15.7762286941753,10.6629811356045,17.0705738375271,"51540"
"515400008004",2.47369525912644,18.6199502280414,13.3390241309418,20.9498136608749,"51540"
"515400009001",5.08930399710337,20.6172535757352,17.0455873543972,22.2971402430169,"51540"
"515400009002",2.52975215591852,16.0175490990621,13.364372005897,17.3396610640653,"51540"
"515400010001",1.59736940643764,15.2835852908292,12.4773354545487,19.4566395918766,"51540"
"515400010002",1.92052285455695,17.1609345054155,13.1459420514261,19.145832101879,"51540"
"515400010003",1.98904399803336,15.113897240786,11.2646762148734,16.9069024742038,"51540"
