"w_geocode","avgc_allworkers","medc_allworkers","workersinBlockall","liveoutsideRegion","liveinsideRegion","perc_workers_liveinRegion","perc_workers_liveoutsideRegion","avgc_livewithin40","medc_livewithin40","workerw40","avgc_25_res","medc_25_res","workers25"
"510790301023028",NA,NA,2,2,0,0,100,33.2784843198856,33.2784843198856,1,NA,NA,2
"510790301023033",NA,NA,9,3,6,66.6666666666667,33.3333333333333,7.51766453869332,4.11451878922261,6,NA,NA,7
"510790301024000",NA,NA,4,1,3,75,25,4.29463895576462,4.04445783786788,3,NA,NA,4
"510790301024002",NA,NA,10,1,9,90,10,3.66823630215399,2.45555501684496,9,NA,NA,10
"510790301024006",8.16110931466566,3.90503686237862,5,1,4,80,20,8.16110931466566,3.90503686237862,5,8.16110931466566,3.90503686237862,5
"510790301024014",NA,NA,3,1,2,66.6666666666667,33.3333333333333,2.34446103172057,2.34446103172057,2,2.34446103172057,2.34446103172057,2
"510790301024015",1.12833273214261,1.12833273214261,2,0,2,100,0,1.12833273214261,1.12833273214261,2,1.12833273214261,1.12833273214261,2
"510790301024021",NA,NA,18,3,15,83.3333333333333,16.6666666666667,6.02075073039503,4.97005812463839,14,NA,NA,18
"510790301024034",10.0161208060083,9.16582819908736,4,1,3,75,25,10.0161208060083,9.16582819908736,4,10.0161208060083,9.16582819908736,4
"510790301024039",NA,NA,5,1,4,80,20,4.00387016268607,4.00387016268607,2,NA,NA,5
"510790301024059",NA,NA,4,1,3,75,25,4.03995614613212,2.85349171595045,3,NA,NA,4
"510790301024063",NA,NA,8,1,7,87.5,12.5,4.34600317427862,4.51608643775182,6,NA,NA,8
"510790302001000",5.11623162412359,4.57498882560479,4,0,4,100,0,5.11623162412359,4.57498882560479,4,5.11623162412359,4.57498882560479,4
"510790302001006",NA,NA,52,22,30,57.6923076923077,42.3076923076923,6.57827569737706,4.94871752924746,30,NA,NA,47
"510790302001009",NA,NA,94,48,46,48.936170212766,51.063829787234,5.92730342630914,4.50753731655363,44,NA,NA,81
"510790302001017",19.7714656958005,19.7714656958005,1,0,1,100,0,19.7714656958005,19.7714656958005,1,19.7714656958005,19.7714656958005,1
"510790302001032",NA,NA,9,4,5,55.5555555555556,44.4444444444444,4.57918268775654,3.55220536231196,4,NA,NA,8
"510790302001033",NA,NA,17,6,11,64.7058823529412,35.2941176470588,5.91142092739442,3.88652410189822,11,NA,NA,16
"510790302001034",NA,NA,80,38,42,52.5,47.5,6.09016364402222,4.22984623269036,42,NA,NA,68
"510790302001041",7.54957680065231,7.54957680065231,1,0,1,100,0,7.54957680065231,7.54957680065231,1,7.54957680065231,7.54957680065231,1
"510790302001043",NA,NA,5,3,2,40,60,4.04359604284999,4.04359604284999,2,NA,NA,5
"510790302001046",NA,NA,37,15,22,59.4594594594595,40.5405405405405,5.46713066500144,3.754769732965,20,NA,NA,32
"510790302001050",NA,NA,25,18,7,28,72,4.38884940633717,5.25147044298397,5,NA,NA,20
"510790302001051",NA,NA,17,9,8,47.0588235294118,52.9411764705882,7.86772354285782,5.49818271677633,9,NA,NA,16
"510790302001054",NA,NA,122,44,78,63.9344262295082,36.0655737704918,7.21228963576101,4.62855450636762,68,NA,NA,109
"510790302001057",NA,NA,24,12,12,50,50,6.74237549073689,3.4085588525513,13,NA,NA,23
"510790302001062",46.0476541038464,12.5618644195868,6,3,3,50,50,7.12335559642221,3.79087423438056,4,20.1639074786487,3.79087423438056,4
"510790302001064",NA,NA,20,12,8,40,60,5.81963244416911,6.09735906932942,6,NA,NA,17
"510790302002001",NA,NA,5,1,4,80,20,4.94734391478066,4.54703112138678,4,NA,NA,5
"510790302002003",NA,NA,3,1,2,66.6666666666667,33.3333333333333,5.66107251799198,5.66107251799198,2,NA,NA,3
