"w_blkgroup","lowwage_jobs","midwage_jobs","higwage_jobs","alljobs","lowwage_p","midwage_p","higwage_p","White_workers","Black_workers","AI_Na_workers","Asian_workers","NaH_PI_workers","Multiracial_workers","lessThanHS_jobs","HSnoCollege_jobs","SomeColl_Associates_jobs","Bach_AdvDeg_jobs","w_county","countyName"
"515400004021",50,181,174,405,0.123456790123457,0.446913580246914,0.42962962962963,300,85,0,12,2,6,44,116,102,78,"51540","Charlottesville"
"515400004022",115,127,192,434,0.264976958525346,0.292626728110599,0.442396313364055,385,29,2,10,0,8,36,83,98,110,"51540","Charlottesville"
"515400004023",135,477,518,1130,0.119469026548673,0.42212389380531,0.458407079646018,888,208,3,13,0,18,151,345,261,175,"51540","Charlottesville"
"515400004024",14,18,17,49,0.285714285714286,0.36734693877551,0.346938775510204,30,14,2,2,0,1,7,8,11,9,"51540","Charlottesville"
"515400005011",30,40,27,97,0.309278350515464,0.412371134020619,0.278350515463918,47,38,0,10,0,2,18,26,24,17,"51540","Charlottesville"
"515400005012",92,25,30,147,0.625850340136054,0.170068027210884,0.204081632653061,86,54,2,1,0,4,11,30,19,17,"51540","Charlottesville"
"515400005013",9,2,0,11,0.818181818181818,0.181818181818182,0,1,10,0,0,0,0,2,7,0,1,"51540","Charlottesville"
"515400005021",17,20,17,54,0.314814814814815,0.37037037037037,0.314814814814815,50,3,0,0,0,1,6,13,7,11,"51540","Charlottesville"
"515400005022",15,20,7,42,0.357142857142857,0.476190476190476,0.166666666666667,26,12,1,2,0,1,3,16,10,7,"51540","Charlottesville"
"515400005023",45,53,26,124,0.362903225806452,0.42741935483871,0.209677419354839,101,19,0,0,0,4,14,20,28,15,"51540","Charlottesville"
"515400005024",7,0,13,20,0.35,0,0.65,17,2,0,1,0,0,1,1,6,9,"51540","Charlottesville"
"515400005025",110,98,46,254,0.433070866141732,0.385826771653543,0.181102362204724,186,49,3,9,1,6,25,62,57,39,"51540","Charlottesville"
"515400006001",605,2425,5825,8855,0.0683229813664596,0.273856578204404,0.657820440429136,6977,1239,24,452,7,156,541,1432,2325,2807,"51540","Charlottesville"
"515400006002",87,80,49,216,0.402777777777778,0.37037037037037,0.226851851851852,155,43,0,16,0,2,20,36,37,57,"51540","Charlottesville"
"515400007001",164,175,601,940,0.174468085106383,0.186170212765957,0.63936170212766,704,203,1,17,0,15,76,172,198,337,"51540","Charlottesville"
"515400007002",222,161,131,514,0.431906614785992,0.313229571984436,0.254863813229572,350,122,7,22,0,13,51,97,87,89,"51540","Charlottesville"
"515400007003",848,602,293,1743,0.486517498565691,0.345381526104418,0.168100975329891,1241,352,10,85,3,52,134,267,321,284,"51540","Charlottesville"
"515400007004",184,226,286,696,0.264367816091954,0.324712643678161,0.410919540229885,548,106,1,31,0,10,49,128,157,183,"51540","Charlottesville"
"515400008001",6,10,5,21,0.285714285714286,0.476190476190476,0.238095238095238,13,8,0,0,0,0,3,9,4,2,"51540","Charlottesville"
"515400008002",1,7,2,10,0.1,0.7,0.2,10,0,0,0,0,0,1,4,1,1,"51540","Charlottesville"
"515400008003",7,7,2,16,0.4375,0.4375,0.125,6,10,0,0,0,0,1,4,3,3,"51540","Charlottesville"
"515400008004",948,1081,820,2849,0.332748332748333,0.379431379431379,0.287820287820288,1964,631,10,181,0,63,275,605,647,530,"51540","Charlottesville"
"515400009001",85,145,189,419,0.202863961813842,0.346062052505967,0.451073985680191,343,59,4,9,0,4,59,102,88,83,"51540","Charlottesville"
"515400009002",74,356,125,555,0.133333333333333,0.641441441441441,0.225225225225225,264,195,4,80,1,11,83,140,118,116,"51540","Charlottesville"
"515400010001",2352,3086,4879,10317,0.22797324803722,0.299117960647475,0.472908791315305,8053,1611,25,410,7,211,878,1670,2299,2740,"51540","Charlottesville"
"515400010002",702,1043,1865,3610,0.194459833795014,0.288919667590028,0.516620498614958,3041,444,7,65,1,52,259,701,881,1162,"51540","Charlottesville"
"515400010003",65,88,607,760,0.0855263157894737,0.115789473684211,0.798684210526316,667,49,2,30,2,10,56,142,170,305,"51540","Charlottesville"
