,GEOID,mean,median,min,max,spatial_region
5736,511099501001070,89.31577622882813,88.8272372361983,87.15651576565826,96.38103743770988,blocks
5737,511099501001071,92.43452112800003,92.44523360480002,90.76684906400001,94.20483030080003,blocks
5738,511099501001072,89.370246092,89.39524036325002,89.04032171150001,89.65018193,blocks
5739,511099501001073,91.81582064457322,91.82349243214637,89.18844911117075,95.15428622907325,blocks
5740,511099501001074,90.88354211437841,90.74667350810815,88.8678248656757,94.91755398362167,blocks
5741,511099501001075,90.38205197031584,90.37611540926318,89.79444036357901,91.10685210610532,blocks
5742,511099501001076,94.01225905400003,94.09668414800005,93.44691854600005,94.49693429000003,blocks
5743,511099501001077,91.19195710761647,91.02162733835621,90.28131229967127,92.6796667003836,blocks
5744,511099501001078,91.90269438307197,91.48084568545711,89.90173947851513,95.79563041858005,blocks
5745,511099501001079,93.71696425706479,93.49321919246047,89.97482251879138,97.89761091225905,blocks
5746,511099501001080,92.19790567760003,92.25943003760003,89.92519581920001,96.32495974640003,blocks
5747,511099501001081,90.63377835921149,90.35593303028708,87.99182926643716,95.26862935804176,blocks
5748,511099501001082,93.18802252000005,93.48019993333332,88.12033947466674,101.07542015333338,blocks
5749,511099501001083,91.67801146073917,91.51049132834787,90.38178681956526,93.8716892662609,blocks
5750,511099501001084,92.18742090125004,92.21113341500002,91.53769802450005,92.73524405675003,blocks
5751,511099501001085,90.79889291189798,90.56174779313812,87.51887251252995,98.33056915469001,blocks
5752,511099501001086,91.70877038739464,91.54574746160004,90.54782234240004,93.78277319120004,blocks
5753,511099501001087,93.16268002400003,93.31172580200005,91.83085858400004,94.01213841800002,blocks
5754,511099501001088,93.23113122529035,93.27135360258067,92.28557458283873,94.11073110761296,blocks
5755,511099501001089,91.3570896964602,91.20740159403545,88.44943150400006,96.68757960555759,blocks
5756,511099501001090,93.4638827189474,94.15991751800004,91.04192771568427,94.54169236242107,blocks
5757,511099501001091,91.16128066906361,91.142432165711,88.69913268300583,94.7806200713295,blocks
5758,511099501001092,92.1342729389474,91.85320375747371,90.44498979723313,97.36538550285721,blocks
5759,511099501001093,91.96460129202177,91.78504378484789,88.44594289445655,97.26346481704354,blocks
5760,511099501001094,91.40098943171432,91.82244923484554,87.30209486517785,96.17726182071142,blocks
5761,511099501001095,88.55036479125694,87.37021326866187,86.18057860088244,96.43642152742528,blocks
5762,511099501001096,89.75930704231858,89.10273916704844,86.45372163871977,94.77028940582463,blocks
5763,511099501001097,93.83682881996657,93.22900475459416,88.73333024301262,105.29339688051886,blocks
5764,511099501001098,91.38694985031583,90.59845041443161,89.11734859115793,95.92168375722112,blocks
5765,511099501001099,93.24791188293958,93.24874174640004,90.49121993120004,95.66172714560004,blocks
5766,511099501001100,91.93410460301004,91.67248764320006,89.68771178960002,95.89675020080003,blocks
5767,511099501001101,92.15468313268534,91.51958428357717,89.28367092636695,99.89399908343135,blocks
5768,511099501001102,92.92396916694386,92.60985620132135,89.18584122466969,100.29262654998655,blocks
5769,511099501001103,94.28756077800604,94.00454080720844,91.40139421707725,100.42428986217158,blocks
5770,511099501001104,96.54691070930157,96.56925128397621,91.9778465625656,101.61056991975813,blocks
5771,511099501001105,97.17177860083173,96.88901020566338,92.79630013108917,104.09753316538618,blocks
5772,511099501001106,97.07409365632437,97.62698148605409,95.41443247481085,98.54020252691899,blocks
5773,511099501001107,98.6552833753425,98.55608587983568,95.61201883391786,101.26147212093156,blocks
5774,511099501001108,95.81123134040006,95.81369231480006,95.54236988720004,96.07024889600004,blocks
5775,511099501001109,95.58185656325003,94.77555988700003,93.12723398375003,100.36628702525003,blocks
5776,511099501001110,99.16461811265675,99.18124907564183,94.55814745713435,103.3938924058508,blocks
5777,511099501001111,100.11558456585044,100.13941919980319,96.35009995633864,103.29280909388194,blocks
5778,511099501001112,95.43672329486027,95.23363447124017,92.35898596873818,100.9808110980299,blocks
5779,511099501001113,98.69118663200003,98.76009391520003,97.94181992720004,99.30273877040005,blocks
5780,511099501001114,98.77075813760005,98.83146217280003,98.30112218960006,99.17969005040004,blocks
5781,511099501001115,93.59704575087967,92.83344470371205,91.06548097157706,100.13820636019801,blocks
5782,511099501001116,97.19327735427653,97.02782882252667,92.56410275591797,102.30643857532392,blocks
5783,511099501001117,93.0713382639297,92.96261946395984,89.56205369473366,96.54842302360805,blocks
5784,511099501001118,91.96391014263922,91.9202722460619,90.6716448739382,93.26131301253612,blocks
5785,511099501001119,92.81732993583365,92.83611377698645,87.40730109049773,99.62232736427562,blocks
5786,511099501001120,91.46127832949868,90.9471104637844,89.0929553039785,95.17947234683564,blocks
5787,511099501001121,95.51910249287276,95.2495139336,93.58589523920004,98.79577804400007,blocks
5788,511099501001122,93.09750055512754,92.92957483830877,90.09441671326177,97.96753215469805,blocks
5789,511099501001123,94.21224941480003,94.18883396720003,91.63680351440003,96.61166326400003,blocks
5790,511099501001124,90.3175577654783,89.98537080434784,88.50528640908698,95.05634527634788,blocks
5791,511099501001125,90.71436678906632,90.46304975773488,88.61236837277295,95.99409839935971,blocks
5792,511099501001126,91.96862880976339,91.31972293111455,88.50378584952675,98.02435180340463,blocks
5793,511099501001127,91.10222122347831,91.07599493765223,86.6818429158261,98.52166935217396,blocks
5794,511099501001128,91.48205157585397,91.01958796284,88.82024078221704,96.95749492968423,blocks
5795,511099501001129,91.28745220456607,90.86910590384912,88.2663030211321,95.92411241826419,blocks
5796,511099501001130,90.44542724693856,89.77793949766487,88.61382298993298,94.91570475377655,blocks
5797,511099501001131,91.22414882989317,90.03470918000005,88.99579286888554,96.90636964491604,blocks
5798,511099501001132,94.24621184168753,94.54018292431253,91.73864555656253,96.44548340412503,blocks
5799,511099501001133,94.95160747283586,94.58604258155229,93.42901730394031,97.16428057516423,blocks
5800,511099501001134,97.0020872442217,96.85724929244336,92.56749816041314,100.79549021451895,blocks
5801,511099501001135,90.71088777113088,90.04032974653272,88.67769454618697,98.04336962084118,blocks
5802,511099501001136,91.30304318327276,90.37924559600006,88.72300982480004,96.26958782240004,blocks
5803,511099501001137,90.87661114029791,90.9520112070213,88.55216845834045,93.59278073140426,blocks
5804,511099501001138,92.87231458448666,92.90307676448667,89.4658822326178,96.40130728352378,blocks
5805,511099501001139,91.48570921818315,90.93952887863384,88.70727778598597,95.27359508802819,blocks
5806,511099501001140,93.91245287000005,93.9749049782858,91.05266877928572,96.47562606800004,blocks
5807,511099501001141,89.16730519397821,88.95741763640004,87.66971278160004,92.37386534720004,blocks
5808,511099501001142,90.52831781125111,90.46045775120001,88.2578856632,93.82707073040005,blocks
5809,511099501001143,89.25410127341901,88.26978550517627,86.27424064316166,102.19611843356415,blocks
5810,511099501001144,89.60248762571432,89.55811511985722,87.53669091114293,92.5371995977143,blocks
5811,511099501001145,88.41949886593261,88.33437864651687,87.22023470256183,90.14600605595506,blocks
5812,511099501001146,93.60592516986542,93.57359036720003,88.57042941200007,99.9389006528,blocks
5813,511099501001147,90.92000290772819,90.22316486524274,87.99496758264081,94.4454682005049,blocks
5814,511099501001148,90.45543869681418,90.02559864697388,87.0549039827308,96.3857000150276,blocks
5815,511099501001149,89.42364937536122,88.93198571585103,86.91987179759148,95.8548893317946,blocks
5816,511099501001150,91.1829607553926,90.74029719431726,87.0398043541916,100.23243172628027,blocks
5817,511099501001151,92.38314673636576,92.18517892427431,89.91271516331427,97.12737802790862,blocks
5818,511099501001152,92.82485997598633,92.89101973297264,90.45532931653426,95.85088926861646,blocks
5819,511099501001153,92.64708784888333,91.6590687338928,89.64347635700952,98.17548828198113,blocks
5820,511099501001154,91.43003679098659,91.13623140196547,88.55174773493287,97.42249764608833,blocks
5821,511099501001155,93.64749925595234,93.32062358042934,89.35737314158227,101.58907412590398,blocks
5822,511099501001156,93.6414603801984,93.41646427028101,91.04564085398351,97.19739042517358,blocks
5823,511099501001157,92.17350390326764,92.15582648152117,91.02646453239443,93.56785387053525,blocks
5824,511099501001158,89.38732799872646,88.95822524381454,87.32463967055762,97.10015514057116,blocks
5825,511099501001159,88.5281040756229,87.83738783449775,86.46580182291812,97.90297617934468,blocks
5826,511099501001160,89.63891068368739,89.19812172852909,87.36538214442488,94.53917594839284,blocks
5827,511099501001161,89.84881361375706,89.8428911753645,88.4698629581309,91.86307516063556,blocks
5828,511099501001162,89.33639271020755,88.24266031383085,86.13250099293111,100.08877308565143,blocks
5829,511099501001163,88.12817313589615,88.03484787293507,87.45747771012992,89.02491065833767,blocks
5830,511099501001164,90.46137893560659,89.84489140045902,88.64197249291807,92.91821809173774,blocks
5831,511099501001165,90.49712395898595,90.0018384186479,88.7367762614085,94.20741836777468,blocks
5832,511099501001166,90.64148301678418,90.20081140037892,88.59387371658151,95.30937957517182,blocks
5833,511099501001167,91.50736309700004,91.01696267750003,89.36605901750005,94.23084143300005,blocks
5834,511099501001168,92.51216389802988,92.01814327319404,89.1698516906269,98.160451250806,blocks
5835,511099501001169,89.93385240458952,89.34601412915794,87.6761404581579,96.70276249178949,blocks
5836,511099501001170,91.89093067215389,91.89416464492312,90.1221841995385,94.11117129430772,blocks
5837,511099501001171,89.63383162063018,89.35549710158908,88.23436313049316,92.09324684164388,blocks
5838,511099501001172,91.97236461200004,91.67261238595748,88.34421381148942,98.91307473685109,blocks
5839,511099501001173,91.31954289800005,91.35816652400005,90.41992003400004,92.19318881000002,blocks
5840,511099501001174,89.63559813192228,89.35271895790933,88.25668175239745,92.84032630158971,blocks
5841,511099501001175,87.97101144217342,87.78007254689022,86.58376159542202,90.13161893780351,blocks
5842,511099501001176,88.42967220022372,88.31880692256584,86.86446414823685,91.38646413168425,blocks
5843,511099501001177,90.56253736588485,89.92655300578015,87.68626100910998,96.29574515995812,blocks
5844,511099501001178,90.13167708786553,89.68909244833877,87.5179950889664,95.52404589474972,blocks
5845,511099501001179,90.77553235652127,89.18321203760004,86.65333035440008,105.84770018720006,blocks
5846,511099501001180,89.00704021503452,88.9219668758621,88.39222092096558,89.84387758751728,blocks
5847,511099501001181,92.48010266248127,90.91871234931018,87.8852574383239,100.09321027725528,blocks
5848,511099501001182,88.71678281381823,88.61722521309093,88.29524772909095,89.36539871818185,blocks
5849,511099501001183,88.79040266221543,88.33048440800003,87.43222875200003,93.68556470240007,blocks
5850,511099501001184,92.42852916064153,92.41016471960003,90.12207377120004,95.14984447040004,blocks
5851,511099501001185,91.55975994848984,91.4310610321633,90.34151484053062,93.27302503461229,blocks
5852,511099501001186,92.79181250462949,92.86228444287313,90.20352640232491,95.66604634305587,blocks
5853,511099501001187,93.844019773306,93.56022718438064,91.53946187586568,97.34694823655227,blocks
5854,511099501001188,93.24387470122839,93.22564346699217,90.57817436000003,96.51080206910238,blocks
5855,511099501001189,94.89971016888425,94.66004580231584,93.02403751368428,97.3733780157895,blocks
5856,511099501001190,89.12024183512561,88.66993715859992,87.17990282116335,95.56641162165653,blocks
5857,511099501001191,92.94705800157521,92.5246935149022,88.92273835653465,99.81756697939859,blocks
5858,511099501001192,92.03622520786097,91.34343576523901,87.92382731498358,100.86429806670544,blocks
5859,511099501001193,92.19243097215279,90.57360775475894,87.6871510465012,105.23330627923633,blocks
5860,511099501001194,90.46815646315046,90.40924552729206,89.37884861313277,91.30526888350445,blocks
5861,511099501001195,86.06433714800005,86.06433714800005,86.06433714800005,86.06433714800005,blocks
5862,511099501001196,90.27321452688776,89.78318881634841,87.28892153864433,94.3528735341448,blocks
5863,511099501001197,91.07437409555303,90.16914601829143,88.01593602442387,99.90631820738082,blocks
5864,511099501001198,92.20325453012249,91.9801345551837,89.90927482155104,95.56625138367352,blocks
5865,511099501001199,92.46950283661891,92.32587634640002,89.1032303696,96.62396813600006,blocks
5866,511099501001200,90.18736392727416,88.48490217929272,86.86562099823053,102.8881749225033,blocks
5867,511099501001201,91.44536244874095,89.68861603382572,86.9449498620242,101.30147305628091,blocks
5868,511099501001202,90.32720203901641,90.08015904020499,87.56146773035252,95.95210447436887,blocks
5869,511099501001203,90.75195845457898,89.86887912484212,88.00450053894741,97.21763059052634,blocks
5870,511099501001204,91.8960715345136,90.66736969694368,87.2144303439435,102.113639464169,blocks
5871,511099501001205,91.17754523698633,90.3880949902466,87.69568786071238,97.10175114536992,blocks
5872,511099501001206,93.11595255409021,92.05854113399776,86.9869718608615,110.18958574336327,blocks
5873,511099501001207,89.65787785603817,88.65233853314709,86.74012240314147,102.25265484831961,blocks
5874,511099501001208,90.76131005212171,90.29506093306465,87.52253465987837,97.53659507152855,blocks
5875,511099501001209,93.69430431661542,93.95294326076929,90.13370029769234,96.3843386415385,blocks
5876,511099501001210,88.4127459126904,88.20669507568971,87.07802868380571,90.59162732979846,blocks
5877,511099501001211,89.46922006243481,89.44086535739133,88.9834451156522,89.99351460852179,blocks
5878,511099501001212,89.47879604809305,89.19323240041862,87.96658451125587,92.92520946074424,blocks
5879,511099501001213,90.13904635910747,89.95103605040006,88.34771122880007,94.14576691520004,blocks
5880,511099501001214,88.16614063670094,88.05992592335954,87.39780485027192,89.76353731050155,blocks
5881,511099501001215,89.53009059345656,88.81118348554591,86.62328536966233,97.26079224614222,blocks
5882,511099501001216,92.69770859657552,92.95376139926823,90.32557843224156,93.99950067206397,blocks
5883,511099501001217,90.63019399515389,90.74188437176927,89.58215018576924,91.69338226238466,blocks
5884,511099501001218,91.61092167252177,91.52395535495656,90.12238882347827,93.44440704434788,blocks
5885,511099501001219,91.37565539300003,90.80629652046159,88.75848186107699,99.33045277769233,blocks
5886,511099501001220,92.09503718966376,91.37891057812395,88.44652164980538,97.77784329125664,blocks
5887,511099501001221,93.18172311797214,93.15891618080005,91.54451697440005,95.92259043200002,blocks
5888,511099501001222,96.51331295947232,96.54940906957431,92.3950619216054,100.7271245609313,blocks
5889,511099501001223,92.72368377022747,91.99370266328552,87.78828703127834,102.65035859948686,blocks
5890,511099501001224,93.38778680000001,93.30165269600002,93.01248820400004,93.84921950000002,blocks
5891,511099501001225,92.2280151643896,91.40969623685709,88.11406631926401,101.23280609309914,blocks
5892,511099501001226,91.19571887102444,91.17643623624394,89.59263414448782,93.15549482614641,blocks
5893,511099501001227,90.3021822516248,90.06198679447792,88.33696352201773,93.64183340509737,blocks
5894,511099501001228,91.2307950995575,90.49778602034387,88.0740456394043,97.38003706895321,blocks
5895,511099501001229,90.1903844545455,90.2015707018182,88.8623904658182,91.21802770400005,blocks
5896,511099501001230,89.43764360157077,88.83132089819482,87.21892441952934,95.5686857187854,blocks
5897,511099501001231,94.59963498793164,94.78525685106324,89.15286427038761,99.07106608319795,blocks
5898,511099501001232,92.33936613200001,92.19330274400001,91.40328438800003,93.735513368,blocks
5899,511099501001233,101.02100228272731,101.00254497472733,100.56628133109089,101.57304358563643,blocks
5900,511099501001234,99.62131953589193,99.7277302691892,90.47247766140546,109.16044495383792,blocks
5901,511099501001235,90.21190638541738,89.24557719695521,86.19711765901937,102.9856534183922,blocks
5902,511099501001236,90.66150042910773,90.95019165680004,88.83006221120002,92.21513249840004,blocks
