"blkgroup","medc_allblk","medc_workinRegionblk","medc_within40blk","medc_25_employeesblk","commutersInBlgr","commuterinRegionblk","commuterw40blk","commuter25blk","avgc_allblk","avgc_workinRegionblk","avgc_within40blk","avgc_25_employeesblk","county"
"510030109032",78.8738286662999,2.23740854449067,16.9687316997733,69.6475046200249,137,17,33,98,73.9984495006259,1.84607268723208,14.2594623828083,64.7053330399103,"51003"
"510030110001",22.8999160277373,4.39659663528997,7.13068817706459,16.923787597899,473,350,384,436,24.3271074058372,4.70615048075009,6.61746406398576,17.3164650955176,"51003"
"510030110002",22.5434179728653,4.53064012961341,5.24708773554184,16.1402589579673,486,376,402,459,19.9896204621249,4.21891059367991,5.64853615571086,15.1415682712296,"51003"
"510030110003",25.0501784477501,8.1141615782428,10.3568491159522,20.0458093370705,650,483,529,605,25.0491059046387,8.56385552577825,9.88355508135827,19.4523984580435,"51003"
"510030110004",26.5203636742623,10.1641538501007,11.0851136142765,23.3175554075005,669,508,543,625,26.3903707409913,9.50433738589941,10.3888586933649,21.3332884875454,"51003"
"510030110005",23.0424093623203,6.88237121714313,7.97136367144704,19.4341162264837,553,416,450,521,23.2826270020613,6.92713710233211,8.46433049544499,18.6689249739108,"51003"
"510030111001",24.628877778737,11.1165551382107,12.243649658244,19.9334336911352,745,567,638,704,24.7020490983935,11.4696379812411,12.4380057134597,20.1238666588843,"51003"
"510030111002",24.3146628338722,12.528709955136,13.2940796829394,20.1210670289824,1345,1038,1164,1285,24.1533800241206,12.4143973718987,13.1086548134133,20.2496827469658,"51003"
"510030111003",30.8135246485558,13.4232532068832,14.6211578669841,22.2851870791433,356,254,296,340,27.9001483308801,13.4708178633902,14.3498975948605,24.1649800758354,"51003"
"510030111004",28.4248184397337,14.1025502462357,14.5065518301311,22.3350901877151,1286,979,1085,1202,27.6237048262775,13.9431588579304,14.170868966662,21.9365402343773,"51003"
"510030111005",25.5678272096844,12.7843665749547,13.3388349243012,21.4649101423802,381,295,330,361,25.4288616564007,12.9129957574244,13.4458463215564,20.2250160711783,"51003"
"510030112011",34.0663977000168,15.7466227796945,15.9327095743112,27.3237983677194,533,360,420,501,33.5277054910698,16.0047689814046,15.9529573840495,29.0305445608428,"51003"
"510030112012",30.8004209790317,15.4817906263716,14.8648294407802,24.8884339738202,599,434,482,558,30.4501418449622,15.12901659558,14.8892970263701,25.5975690848449,"51003"
"510030112013",29.9971410468936,11.8224556068909,12.9063006068527,24.5039876772793,769,546,615,719,30.7010797125624,12.562286339116,13.1797455828281,25.198907832166,"51003"
"510030112021",19.819942400723,6.01068131463287,7.16335486679413,15.360329223973,1384,1090,1176,1303,19.893610058718,5.61675193207823,7.12193807697886,14.9442280705961,"51003"
"510030112022",29.5173476090532,10.7670559872847,11.7360991422436,22.2511565016912,477,352,385,445,28.4677835918089,10.6214565347879,11.7432534953802,21.5605780971701,"51003"
"510030113011",17.8654080591955,3.66959693740544,5.80146182876072,14.5485227033447,452,347,378,421,19.6578144856076,3.66268987247684,5.81662143349601,14.78339254815,"51003"
"510030113012",19.5393184336788,4.77451475299551,6.4632578042629,13.727744244629,653,511,542,619,19.5426053745158,5.20484000818033,6.09365166160904,15.5907781681713,"51003"
"510030113013",18.3827836190936,5.58006758898716,6.67993660823259,15.5300107514719,886,689,727,834,20.1739944592263,5.37614742796916,6.4426716294561,15.822934071662,"51003"
"510030113014",20.0666571996381,5.19537755237942,7.10350286947727,14.6664504663937,592,445,486,551,21.9577315662292,5.7218035993218,7.39130464299078,16.7430759560532,"51003"
"510030113021",20.1683817748726,4.05127485613712,6.74634278057137,14.3508364634674,1149,865,970,1086,19.2550122671398,3.97528067966446,6.5515610480114,14.9999001120653,"51003"
"510030113022",24.1635686543887,4.06127147160926,6.50283921529267,18.1740827820802,666,490,543,628,22.2684116408875,3.93461646670413,6.35262653552617,18.0102020888013,"51003"
"510030113031",16.7611067363932,2.49931201366719,4.343284766561,12.0633131527525,1288,1008,1079,1208,18.0535686094644,2.47117342274889,4.11594723981582,12.3762192752195,"51003"
"510030113032",18.0183838397508,1.98773410404263,4.17470218910347,13.1470825962503,693,531,573,658,19.4525041641172,2.26727884483153,4.10373250034503,14.5673567949457,"51003"
"510030114001",31.122962538854,8.3324969829575,9.82010747027349,20.7351295850424,478,326,368,434,28.2469453853591,7.84783452020279,9.44387548501773,21.0390753256731,"51003"
"510030114002",29.8268954151524,5.53316756026728,7.68742411074494,20.7089179118796,292,206,228,274,25.4750608046637,6.41247825421152,8.31282029927204,20.529687863964,"51003"
"510030114003",25.1907936189143,10.2258366487793,11.9718240867627,22.2677787374443,594,419,476,556,27.735201315998,9.76718678954676,11.0346720239859,22.9196378186048,"51003"
"510030114004",29.3828130828703,11.1008889549467,11.9230990942912,24.1575527741712,523,367,409,486,32.0112012643682,12.7542202914595,13.5367929154237,27.155870984253,"51003"
"510650201011",27.2083694582543,12.4473768586316,13.0891504040989,22.2412716206856,1155,851,883,1082,26.8799289764458,13.0340029584315,13.2599889763707,22.5309476443515,"51065"
"510650201012",28.5156658159025,12.8649517823852,13.1287665255318,23.2356259966027,1048,759,796,986,27.0551703586109,13.0844963882319,13.2687056034732,22.8530390503545,"51065"
"510650201013",26.402459862268,11.3494780882088,11.8405459298695,20.0599683122607,330,244,264,308,24.4720339717298,11.0116492422754,11.4385735723238,19.401109192946,"51065"
"510650201021",25.1366079304454,9.83493421232087,10.9824353001828,20.6466719473064,1831,1313,1419,1698,25.7018713241981,9.75830551778922,10.852614877086,21.0997324372629,"51065"
"510650201022",25.8494237936635,10.4012129104046,11.4678514678144,19.7051622063458,1257,927,990,1164,25.0770066732324,10.2912141169476,11.3340161720079,19.7665969486968,"51065"
"510650201023",28.1828022674236,10.0163601960675,11.3758835498017,19.9589683924533,995,707,775,915,26.159574383447,9.80943565261521,11.2762016737285,20.107817378778,"51065"
"510650202001",28.1184495268403,13.765042619181,13.9453017072821,25.3673806531946,909,611,672,854,29.0092545917024,14.4549693673879,14.8581745507926,25.6685758610861,"51065"
"510650202002",31.8254758536597,17.924193545521,18.1386992164621,27.7009870741214,430,279,309,399,32.5168241506506,16.8400600104628,17.3675506568051,28.5687052746628,"51065"
"510650202003",29.3875914559417,11.366350261687,11.9776797469048,20.8797007557594,677,457,499,627,28.8929764414976,11.8676682613992,12.13202086967,22.663882689734,"51065"
"510650202004",26.5738691902333,11.8673604303234,13.8271887692655,22.6436691557117,278,178,197,254,28.3729324714626,11.353793844526,12.5463882606139,23.8470437469045,"51065"
"510650203001",22.2863530092222,8.78474195470689,9.7791819966173,17.4940343772079,1156,849,922,1065,23.4704055814795,9.14038828738515,10.0870913079477,18.308696557984,"51065"
