STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,Year,June,July,August,JuneF,JulyF,AugustF,NAMES,Totpcp,Totpcpinch
51,540,000201,1,515400002011,Block Group 1,1980,28.58,32.13,31.7,83.45,89.84,89.05,Charlottesville,902.43,35.53
51,540,000201,2,515400002012,Block Group 2,1980,28.66,32.21,31.79,83.6,89.99,89.22,Charlottesville,897.08,35.32
51,540,000201,3,515400002013,Block Group 3,1980,28.57,32.13,31.68,83.43,89.83,89.03,Charlottesville,902.79,35.54
51,540,000202,1,515400002021,Block Group 1,1980,28.65,32.2,31.78,83.57,89.97,89.21,Charlottesville,902.22,35.52
51,540,000202,2,515400002022,Block Group 2,1980,28.62,32.17,31.74,83.51,89.9,89.13,Charlottesville,902.33,35.52
51,540,000202,3,515400002023,Block Group 3,1980,28.58,32.14,31.7,83.45,89.85,89.06,Charlottesville,903.72,35.58
51,540,000302,1,515400003021,Block Group 1,1980,28.75,32.29,31.88,83.75,90.12,89.38,Charlottesville,896.95,35.31
51,540,000302,2,515400003022,Block Group 2,1980,28.96,32.49,32.08,84.13,90.49,89.75,Charlottesville,880.09,34.65
51,540,000401,1,515400004011,Block Group 1,1980,28.79,32.33,31.93,83.82,90.2,89.47,Charlottesville,898.71,35.38
51,540,000401,2,515400004012,Block Group 2,1980,28.76,32.31,31.91,83.77,90.16,89.43,Charlottesville,901.54,35.49
51,540,000402,1,515400004021,Block Group 1,1980,28.77,32.31,31.91,83.79,90.16,89.43,Charlottesville,897.37,35.33
51,540,000402,2,515400004022,Block Group 2,1980,28.79,32.33,31.93,83.82,90.2,89.48,Charlottesville,897.78,35.35
51,540,000402,3,515400004023,Block Group 3,1980,28.77,32.31,31.91,83.79,90.16,89.44,Charlottesville,898.1,35.36
51,540,000402,4,515400004024,Block Group 4,1980,28.81,32.35,31.95,83.85,90.23,89.51,Charlottesville,898.8,35.39
51,540,000501,1,515400005011,Block Group 1,1980,28.71,32.26,31.85,83.68,90.07,89.32,Charlottesville,900.7,35.46
51,540,000501,2,515400005012,Block Group 2,1980,28.66,32.21,31.79,83.58,89.99,89.22,Charlottesville,903.38,35.57
51,540,000501,3,515400005013,Block Group 3,1980,28.71,32.27,31.85,83.69,90.08,89.33,Charlottesville,901.54,35.49
51,540,000502,1,515400005021,Block Group 1,1980,28.77,32.32,31.91,83.79,90.18,89.43,Charlottesville,902.1,35.52
51,540,000502,2,515400005022,Block Group 2,1980,28.61,32.17,31.74,83.5,89.91,89.14,Charlottesville,906.39,35.68
51,540,000502,3,515400005023,Block Group 3,1980,28.6,32.16,31.75,83.48,89.9,89.14,Charlottesville,907.87,35.74
51,540,000502,4,515400005024,Block Group 4,1980,28.67,32.23,31.82,83.61,90.01,89.27,Charlottesville,905.95,35.67
51,540,000502,5,515400005025,Block Group 5,1980,28.72,32.28,31.88,83.7,90.11,89.38,Charlottesville,903.87,35.59
51,540,000600,1,515400006001,Block Group 1,1980,28.6,32.16,31.73,83.48,89.88,89.11,Charlottesville,905.24,35.64
51,540,000600,2,515400006002,Block Group 2,1980,28.54,32.1,31.68,83.37,89.79,89.02,Charlottesville,909.95,35.82
51,540,000700,1,515400007001,Block Group 1,1980,28.64,32.19,31.74,83.56,89.95,89.14,Charlottesville,891.81,35.11
51,540,000700,2,515400007002,Block Group 2,1980,28.57,32.13,31.67,83.43,89.83,89.01,Charlottesville,898.04,35.36
51,540,000700,3,515400007003,Block Group 3,1980,28.64,32.19,31.73,83.55,89.95,89.11,Charlottesville,890.6,35.06
51,540,000700,4,515400007004,Block Group 4,1980,28.44,32.01,31.56,83.2,89.61,88.8,Charlottesville,907.78,35.74
51,540,000800,1,515400008001,Block Group 1,1980,28.65,32.19,31.72,83.57,89.95,89.1,Charlottesville,884.4,34.82
51,540,000800,2,515400008002,Block Group 2,1980,28.73,32.27,31.82,83.71,90.09,89.28,Charlottesville,885.1,34.85
51,540,000800,3,515400008003,Block Group 3,1980,28.69,32.24,31.77,83.65,90.03,89.18,Charlottesville,884.33,34.82
51,540,000800,4,515400008004,Block Group 4,1980,28.63,32.18,31.7,83.53,89.92,89.06,Charlottesville,888.27,34.97
51,540,000900,1,515400009001,Block Group 1,1980,28.84,32.36,31.92,83.91,90.26,89.45,Charlottesville,877.71,34.56
51,540,000900,2,515400009002,Block Group 2,1980,28.74,32.29,31.85,83.74,90.12,89.33,Charlottesville,885.36,34.86
51,540,001000,1,515400010001,Block Group 1,1980,28.69,32.24,31.83,83.64,90.04,89.29,Charlottesville,900.32,35.45
51,540,001000,2,515400010002,Block Group 2,1980,28.72,32.27,31.84,83.69,90.08,89.31,Charlottesville,888.5,34.98
51,540,001000,3,515400010003,Block Group 3,1980,28.74,32.28,31.86,83.74,90.11,89.35,Charlottesville,886.48,34.9
51,003,010100,1,510030101001,Block Group 1,1990,28.68,30.89,28.18,83.62,87.6,82.72,Albemarle,1161.15,45.71
51,003,010100,2,510030101002,Block Group 2,1990,27.22,29.7,27.21,81,85.47,80.97,Albemarle,1249.44,49.19
51,003,010100,3,510030101003,Block Group 3,1990,28.65,31,28.23,83.57,87.8,82.81,Albemarle,1199.27,47.22
51,003,010201,1,510030102011,Block Group 1,1990,28.93,31.04,28.36,84.07,87.88,83.05,Albemarle,1187.43,46.75
51,003,010201,2,510030102012,Block Group 2,1990,28.86,31.03,28.31,83.95,87.86,82.95,Albemarle,1181.47,46.51
51,003,010202,1,510030102021,Block Group 1,1990,28.77,31.06,28.32,83.79,87.91,82.98,Albemarle,1209.9,47.63
51,003,010202,2,510030102022,Block Group 2,1990,28.8,31.03,28.32,83.84,87.86,82.97,Albemarle,1207.33,47.53
51,003,010300,1,510030103001,Block Group 1,1990,28.89,31.07,28.4,84.01,87.92,83.12,Albemarle,1208.96,47.6
51,003,010300,2,510030103002,Block Group 2,1990,28.98,31.13,28.44,84.17,88.03,83.2,Albemarle,1196.68,47.11
51,003,010300,3,510030103003,Block Group 3,1990,28.86,31.05,28.37,83.95,87.89,83.06,Albemarle,1207.19,47.53
51,003,010300,4,510030103004,Block Group 4,1990,28.92,31.11,28.43,84.06,87.99,83.17,Albemarle,1211.8,47.71
51,003,010300,5,510030103005,Block Group 5,1990,28.97,31.15,28.48,84.15,88.08,83.26,Albemarle,1214.15,47.8
51,003,010401,1,510030104011,Block Group 1,1990,28.68,30.85,28.27,83.62,87.54,82.88,Albemarle,1223.95,48.19
51,003,010401,2,510030104012,Block Group 2,1990,28.68,30.83,28.3,83.63,87.49,82.94,Albemarle,1207.33,47.53
51,003,010401,3,510030104013,Block Group 3,1990,28.76,30.94,28.44,83.77,87.7,83.18,Albemarle,1219.53,48.01
