"BlockCode","Blkgr","tract","resproviders","bb253_num","bb253_per","bbmin_dl","bbmax_dl","bbmin_up","bbmax_up","avgMaxAdDown","avgMaxAdUp"
"510010901004062","510010901004","51001090100",5,3,60,2,940,1.3,35,203.4,8.86
"510010901004063","510010901004","51001090100",5,3,60,2,940,1.3,35,203.4,8.86
"510010901004064","510010901004","51001090100",5,3,60,2,940,0.768,35,201,8.6136
"510010901004065","510010901004","51001090100",5,3,60,2,940,1.3,35,203.4,8.86
"510010901004066","510010901004","51001090100",5,3,60,2,940,0.768,35,201.4,8.6136
"510010901004067","510010901004","51001090100",5,3,60,2,940,0.768,35,201,8.6136
"510010901004068","510010901004","51001090100",7,4,57.1,2,2000,0.768,2000,431.428571428571,292.152571428571
"510010901004069","510010901004","51001090100",7,4,57.1,2,2000,1,2000,433.142857142857,292.185714285714
"510010901004070","510010901004","51001090100",7,4,57.1,2,2000,0.768,2000,431.428571428571,292.152571428571
"510010901004071","510010901004","51001090100",5,3,60,2,940,1.3,35,203.4,8.86
"510010901004072","510010901004","51001090100",5,3,60,2,940,1.3,35,203.4,8.86
"510010901004073","510010901004","51001090100",6,4,66.7,2,2000,1.3,2000,502.833333333333,340.716666666667
"510010901004074","510010901004","51001090100",7,4,57.1,2,2000,0.768,2000,431.714285714286,292.152571428571
"510010901004075","510010901004","51001090100",6,4,66.7,2,2000,1.3,2000,502.833333333333,340.716666666667
"510010901004076","510010901004","51001090100",7,4,57.1,2,940,0.768,35,150.285714285714,7.86685714285714
"510010901004077","510010901004","51001090100",6,4,66.7,2,2000,1.3,2000,502.833333333333,340.716666666667
"510010901004078","510010901004","51001090100",6,4,66.7,2,2000,1.3,2000,502.833333333333,340.716666666667
"510010901004079","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004080","510010901004","51001090100",5,3,60,2,940,1.3,35,203.4,8.86
"510010901004081","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004082","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004083","510010901004","51001090100",5,3,60,2,940,1.3,35,203.4,8.86
"510010901004084","510010901004","51001090100",2,2,100,35,940,3,35,487.5,19
"510010901004085","510010901004","51001090100",5,3,60,2,940,1.3,35,203.4,8.86
"510010901004086","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004087","510010901004","51001090100",5,3,60,2,940,0.768,35,201.4,8.6136
"510010901004088","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004089","510010901004","51001090100",5,3,60,2,940,1.3,35,203.4,8.86
"510010901004090","510010901004","51001090100",5,3,60,2,940,1.3,35,203.4,8.86
"510010901004091","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004092","510010901004","51001090100",6,4,66.7,2,2000,1.3,2000,502.833333333333,340.716666666667
"510010901004093","510010901004","51001090100",5,3,60,2,940,1.3,35,203.4,8.86
"510010901004094","510010901004","51001090100",5,3,60,2,940,0.768,35,201.4,8.6136
"510010901004095","510010901004","51001090100",5,3,60,2,940,0.768,35,201,8.6136
"510010901004096","510010901004","51001090100",5,3,60,2,940,1.3,35,203.4,8.86
"510010901004097","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004098","510010901004","51001090100",5,3,60,2,940,1.3,35,203.4,8.86
"510010901004099","510010901004","51001090100",5,3,60,2,940,1.3,35,203.4,8.86
"510010901004100","510010901004","51001090100",5,3,60,2,940,1.3,35,203.4,8.86
"510010901004101","510010901004","51001090100",5,3,60,2,940,1.3,35,203.4,8.86
"510010901004102","510010901004","51001090100",5,3,60,2,940,1.3,35,203.4,8.86
"510010901004103","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004104","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004105","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004106","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004107","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004108","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004109","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004110","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004111","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004112","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004113","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004114","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004115","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004116","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004117","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004118","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004119","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004120","510010901004","51001090100",5,3,60,2,940,0.768,35,201,8.6136
"510010901004121","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004122","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004123","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004124","510010901004","51001090100",5,3,60,2,940,0.768,35,201,8.6136
"510010901004125","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004126","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004127","510010901004","51001090100",4,3,75,2,940,1.3,35,250.5,10.575
"510010901004128","510010901004","51001090100",3,3,100,30,940,3,35,335,16
"510010901004129","510010901004","51001090100",2,2,100,30,35,3,10,32.5,6.5
"510010901004130","510010901004","51001090100",3,2,66.7,2,35,1.3,3,20.6666666666667,2.43333333333333
"510010901004131","510010901004","51001090100",5,4,80,2,940,1.3,35,206.4,10.46
