STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,Year,June,July,August,JuneF,JulyF,AugustF,Totpcp,Totpcpinch
51,001,090200,2,510010902002,Block Group 2,2010,30.38,32.25,30.27,86.68,90.05,86.48,1018.87,40.11
51,001,090200,3,510010902003,Block Group 3,2010,30.44,32.3,30.24,86.79,90.14,86.42,1026,40.39
51,001,090300,1,510010903001,Block Group 1,2010,30.72,32.53,30.36,87.3,90.55,86.64,1089.22,42.88
51,001,090300,2,510010903002,Block Group 2,2010,30.53,32.37,30.25,86.96,90.27,86.45,1058.74,41.68
51,001,090300,3,510010903003,Block Group 3,2010,30.64,32.45,30.27,87.14,90.41,86.48,1109.68,43.69
51,001,090400,1,510010904001,Block Group 1,2010,30.39,32.26,30.15,86.69,90.07,86.27,1054.19,41.5
51,001,090400,2,510010904002,Block Group 2,2010,30.4,32.27,30.13,86.72,90.09,86.23,1109.09,43.66
51,001,090400,3,510010904003,Block Group 3,2010,30.41,32.28,30.08,86.74,90.11,86.15,1130.68,44.52
51,001,090400,4,510010904004,Block Group 4,2010,30.41,32.3,30.02,86.74,90.13,86.04,1108.8,43.65
51,001,090500,1,510010905001,Block Group 1,2010,30.67,32.48,30.25,87.21,90.46,86.45,1134.8,44.68
51,001,090500,2,510010905002,Block Group 2,2010,30.57,32.39,30.19,87.03,90.31,86.34,1143.73,45.03
51,001,090500,3,510010905003,Block Group 3,2010,30.61,32.42,30.16,87.1,90.36,86.29,1140.97,44.92
51,001,090600,1,510010906001,Block Group 1,2010,31.07,32.8,30.51,87.92,91.05,86.92,1159.97,45.67
51,001,090600,2,510010906002,Block Group 2,2010,30.76,32.54,30.25,87.37,90.58,86.45,1134.54,44.67
51,001,090600,3,510010906003,Block Group 3,2010,30.73,32.51,30.18,87.32,90.52,86.33,1131.67,44.55
51,001,090600,4,510010906004,Block Group 4,2010,30.81,32.57,30.22,87.46,90.62,86.4,1139.69,44.87
51,001,090700,1,510010907001,Block Group 1,2010,30.62,32.43,30.1,87.12,90.38,86.17,1117.59,44
51,001,090700,2,510010907002,Block Group 2,2010,30.67,32.47,30.1,87.21,90.45,86.17,1106.73,43.57
51,001,090700,3,510010907003,Block Group 3,2010,30.73,32.51,30.11,87.31,90.52,86.2,1098.34,43.24
