STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,tree_can
51,131,930300,4014,511319303004014,Block 4014,0
51,131,930300,4011,511319303004011,Block 4011,0
51,131,930300,4300,511319303004300,Block 4300,0
51,131,930300,4311,511319303004311,Block 4311,0
51,131,930300,4024,511319303004024,Block 4024,0
51,131,930300,4045,511319303004045,Block 4045,0
51,131,930300,4025,511319303004025,Block 4025,0
51,131,930300,4029,511319303004029,Block 4029,0
51,131,930300,4030,511319303004030,Block 4030,0
51,001,090800,2180,510010908002180,Block 2180,23.626666666666665
51,001,090600,2022,510010906002022,Block 2022,2.575
51,001,090500,3033,510010905003033,Block 3033,8.884615384615385
51,001,090500,3065,510010905003065,Block 3065,35.05466593042518
51,001,090400,3024,510010904003024,Block 3024,14.035117056856187
51,001,090400,1062,510010904001062,Block 1062,38.939174511223754
51,001,090400,1054,510010904001054,Block 1054,50.98906644238856
51,001,090400,1053,510010904001053,Block 1053,32.79365079365079
51,001,090400,1036,510010904001036,Block 1036,0.2727272727272727
51,001,090200,3116,510010902003116,Block 3116,24.279342723004696
51,001,990200,0006,510019902000006,Block 0006,0
51,001,090200,3189,510010902003189,Block 3189,0.36
51,001,090200,3126,510010902003126,Block 3126,1.062937062937063
51,001,090200,3128,510010902003128,Block 3128,1.1
51,001,090200,3129,510010902003129,Block 3129,1.294871794871795
51,001,090200,2070,510010902002070,Block 2070,0
51,001,090200,2245,510010902002245,Block 2245,21.6734693877551
51,001,090200,3155,510010902003155,Block 3155,18.692118226600986
51,001,090300,1009,510010903001009,Block 1009,11.755244755244755
51,001,090200,3016,510010902003016,Block 3016,25
51,001,090200,1097,510010902001097,Block 1097,67.35051546391753
51,001,090400,3020,510010904003020,Block 3020,0
51,001,090400,3021,510010904003021,Block 3021,0
51,001,090800,2136,510010908002136,Block 2136,18.958115183246072
51,001,090400,4146,510010904004146,Block 4146,27.71551724137931
51,001,090200,2100,510010902002100,Block 2100,83.31681415929204
51,001,090200,2244,510010902002244,Block 2244,61.51282051282051
51,001,090700,4068,510010907004068,Block 4068,62.1
51,001,090200,3156,510010902003156,Block 3156,0
51,001,090200,3057,510010902003057,Block 3057,14.75632911392405
51,001,090300,2005,510010903002005,Block 2005,41.88955223880597
51,001,090400,2011,510010904002011,Block 2011,48.344
51,001,090400,1050,510010904001050,Block 1050,68.84761904761905
51,001,090400,1049,510010904001049,Block 1049,73.10169491525424
51,001,090400,2020,510010904002020,Block 2020,0.9439252336448598
51,001,090400,2019,510010904002019,Block 2019,22.46
51,001,090400,3063,510010904003063,Block 3063,53.28981723237598
51,001,090800,2129,510010908002129,Block 2129,31.100558659217878
51,001,090800,2240,510010908002240,Block 2240,65.40322580645162
51,001,090800,3022,510010908003022,Block 3022,0
51,001,090300,2000,510010903002000,Block 2000,50.409669211195926
51,001,090200,3072,510010902003072,Block 3072,50.411764705882355
51,001,090300,2074,510010903002074,Block 2074,73.38461538461539
51,001,090300,2075,510010903002075,Block 2075,19
51,001,090300,2048,510010903002048,Block 2048,82.00280112044818
51,001,090200,3065,510010902003065,Block 3065,84.94596711041504
51,001,090200,3161,510010902003161,Block 3161,40.63813920454545
