STATEFP,COUNTYFP,TRACTCE10,BLOCKCE10,GEOID10,NAME10,tree_can,imp_surf,blocks,cells,developed,forest,percent_dev,percent_for
51,131,930100,2098,511319301002098,Block 2098,40.86764705882353,3.4926470588235294,189,136,24,31,17.647058823529413,22.794117647058822
51,001,090600,2101,510010906002101,Block 2101,82.54621848739495,1.2857142857142858,190,119,20,10,16.80672268907563,8.403361344537815
51,001,090600,2130,510010906002130,Block 2130,78.6976430976431,0.4922558922558923,191,1485,116,48,7.8114478114478105,3.2323232323232323
51,001,090500,3034,510010905003034,Block 3034,72.80179171332587,0.4490481522956327,192,893,42,28,4.703247480403135,3.135498320268757
51,001,090300,2087,510010903002087,Block 2087,24.222433460076047,7.952471482889734,193,526,119,67,22.623574144486692,12.737642585551331
51,001,090400,1041,510010904001041,Block 1041,29.985507246376812,5.898550724637682,194,276,73,36,26.44927536231884,13.043478260869565
51,001,090400,2182,510010904002182,Block 2182,13.175767918088738,4.071672354948806,195,586,72,69,12.286689419795222,11.774744027303754
51,001,090400,2024,510010904002024,Block 2024,41.28455284552845,8.270325203252032,196,492,146,52,29.67479674796748,10.569105691056912
51,001,090700,4000,510010907004000,Block 4000,33.125,3.477272727272727,197,352,56,13,15.909090909090908,3.6931818181818183
51,001,090800,3020,510010908003020,Block 3020,29.76476719944406,1.1754690757470465,198,2878,82,215,2.8492008339124393,7.470465601111884
51,001,090700,5048,510010907005048,Block 5048,0,0,199,806,0,0,0,0
51,001,090700,5136,510010907005136,Block 5136,0,0,200,1522,0,0,0,0
51,001,090700,4048,510010907004048,Block 4048,37.52743362831858,1.2548672566371681,201,565,67,5,11.858407079646017,0.8849557522123894
51,001,090600,4039,510010906004039,Block 4039,54.520628683693516,0.6581532416502947,202,1018,64,62,6.286836935166994,6.090373280943026
51,001,090200,3082,510010902003082,Block 3082,6.855629139072848,3.4781456953642382,203,755,68,24,9.006622516556291,3.1788079470198674
51,001,090200,2005,510010902002005,Block 2005,0,60.970588235294116,204,34,32,0,94.11764705882352,0
51,001,090200,2002,510010902002002,Block 2002,0,38.333333333333336,205,18,11,0,61.111111111111114,0
51,001,090500,3064,510010905003064,Block 3064,56.5327743902439,4.475609756097561,206,1312,113,250,8.61280487804878,19.054878048780488
51,001,090300,2012,510010903002012,Block 2012,44.38741101536156,5.451854627201199,207,2669,334,571,12.514050206069689,21.39378044211315
51,001,090300,1051,510010903001051,Block 1051,73.3166885676741,0.7568988173455979,208,1522,74,0,4.862023653088042,0
51,001,090400,1068,510010904001068,Block 1068,37.01324503311258,6.125827814569536,209,151,26,9,17.218543046357617,5.960264900662252
51,001,090400,1037,510010904001037,Block 1037,30.67391304347826,4.815217391304348,210,184,19,0,10.326086956521738,0
51,001,090400,1051,510010904001051,Block 1051,61.6822429906542,0.5794392523364486,211,107,11,15,10.2803738317757,14.018691588785046
51,001,090400,1042,510010904001042,Block 1042,0,1.2918918918918918,212,185,5,0,2.7027027027027026,0
51,001,090400,1044,510010904001044,Block 1044,82.49526813880126,0.26813880126182965,213,317,14,13,4.416403785488959,4.100946372239748
51,001,090200,3011,510010902003011,Block 3011,49.60476739715494,2.1341791618608226,214,2601,159,311,6.113033448673587,11.956939638600538
51,001,090800,1023,510010908001023,Block 1023,0,0,215,1971,0,0,0,0
51,001,090400,4098,510010904004098,Block 4098,45.370370370370374,8.962962962962964,216,54,25,24,46.2962962962963,44.44444444444444
51,001,090400,4099,510010904004099,Block 4099,35.0609756097561,8.402439024390244,217,82,43,14,52.4390243902439,17.073170731707318
51,001,090400,4102,510010904004102,Block 4102,20.466666666666665,10.666666666666666,218,15,10,0,66.66666666666666,0
51,001,090400,4156,510010904004156,Block 4156,12.675675675675675,7.351351351351352,219,37,15,0,40.54054054054054,0
51,001,090400,4109,510010904004109,Block 4109,1.3571428571428572,4.857142857142857,220,14,5,0,35.714285714285715,0
