"census_tract","year","conventional","fha_insured","va_guaranteed","usda_guaranteed","home_purchase","home_improve","refinance","cash_out_refi","other_purpose","purposeNA","req_preapproval","noreq_preapproval","originated_loan","approvedApp_notAccepted","app_denied","app_withdrawn","fileclosed_incomplete","purchased_loan","denied_preapproval","approve_preapproval","appRace_AIAN","appRace_Asian","appRace_Black","appRace_HawPI","appRace_White","appRace_missing","appRace_NA","appRace_multiracial","appEth_HispLat","appMale","appFemale","appsex_missing","avg_rateSpread","highCost_mortgages","nonHighCost_mortgages","firstlien_secured","sublien_secured","avg_loan_amount","med_loan_amount","avg_app_income","median_app_income","median_income_accepted_app","white_denial_rate","black_denial_rate","hislat_denial_rate","loans_per_units","perc_conventional","perc_govern_backed","sum_mortgage_dollars_in000s","avg_homepurchase_loanamount","med_homepurchase_loanamount","total_apps","perc_app_missingRace","overall_denial_rate","perc_white_apps","perc_black_apps","perc_hislat_apps","population","minority_population","median_family_income","tract_to_msamd_income","tract_owner_occupied_units","tract_one_to_four_family_homes"
"51001090600",2012,156,29,14,3,34,20,0,0,0,0,2,8,90,9,40,27,8,28,0,0,0,2,10,0,144,27,19,1,2,113,55,15,2.4825,0,202,159,3,160445.544554455,141,95192.3076923077,70000,80000,0.180555555555556,0.7,0.5,0.000184337838003908,87.7777777777778,12.2222222222222,14634,174.441176470588,164,202,13.3663366336634,0.198019801980198,71.2871287128713,4.95049504950495,0.99009900990099,4401,22.3799991607666,52600,125.040000915527,1509,2417
"51001090600",2013,162,11,12,3,45,16,0,0,0,0,1,11,87,9,42,13,13,24,0,0,2,2,9,0,144,17,14,2,4,102,60,12,1.85,0,188,158,1,150707.446808511,137.5,84813.9534883721,67000,66000,0.215277777777778,0.555555555555556,0.25,0.000191462953018953,90.8045977011494,9.19540229885057,12802,175.511111111111,155,188,9.04255319148936,0.223404255319149,76.5957446808511,4.78723404255319,2.12765957446809,4401,22.3799991607666,51600,125.040000915527,1509,2417
"51001090600",2014,100,9,6,0,37,21,0,0,0,0,1,5,60,1,26,10,4,14,0,0,0,0,12,1,80,14,8,0,3,67,32,8,1.89,0,115,83,4,174026.086956522,139,99805.5555555556,88000,87000,0.1625,0.5,0.666666666666667,0.000215862279865446,91.6666666666667,8.33333333333333,9828,214.135135135135,181,115,12.1739130434783,0.226086956521739,69.5652173913043,10.4347826086957,2.60869565217391,4401,22.3799991607666,52000,129.789993286133,1509,2417
"51001090600",2015,110,18,15,5,52,23,0,0,0,0,1,10,73,4,24,17,6,24,0,0,1,1,15,0,102,17,12,1,0,82,46,8,NA,0,148,105,1,162182.432432432,140.5,102253.731343284,73000,77000,0.137254901960784,0.266666666666667,NA,0.000204072504444867,78.0821917808219,21.9178082191781,11879,163.25,122,148,11.4864864864865,0.162162162162162,68.9189189189189,10.1351351351351,0,4401,22.3799991607666,52700,129.789993286133,1509,2417
"51001090600",2016,123,32,26,3,80,8,0,0,0,0,3,21,78,9,34,19,15,29,0,0,3,0,17,0,127,19,18,2,2,110,43,13,2.235,0,184,149,1,175782.608695652,158,90639.2405063291,74500,83000,0.15748031496063,0.235294117647059,0.5,0.000175388102390675,76.9230769230769,23.0769230769231,14268,184.6,193.5,184,10.3260869565217,0.184782608695652,69.0217391304348,9.23913043478261,1.08695652173913,4401,22.3799991607666,52300,129.789993286133,1509,2417
"51001090600",2017,123,25,12,5,71,23,0,0,0,0,10,21,91,9,22,23,11,9,0,0,0,0,7,0,135,14,9,0,3,81,60,15,1.78,0,165,137,4,154121.212121212,137,94623.3766233766,70000,74000,0.125925925925926,0.285714285714286,0.666666666666667,0.000246212121212121,73.6263736263736,26.3736263736264,14288,169.253521126761,158,165,8.48484848484849,0.133333333333333,81.8181818181818,4.24242424242424,1.81818181818182,3584,20.7900009155273,53300,116.319999694824,1392,2240
"51001090700",2012,203,35,10,6,53,29,0,0,0,0,3,6,116,17,58,18,11,34,0,0,0,0,36,0,169,27,22,0,3,158,61,13,3.136,0,254,202,6,158685.039370079,150.5,91348.0176211454,72000,82000,0.171597633136095,0.555555555555556,0,0.000174044555406184,81.8965517241379,18.1034482758621,18493,138.471698113208,131,254,10.6299212598425,0.228346456692913,66.5354330708661,14.1732283464567,1.18110236220472,4907,40.6599998474121,52600,106.550003051758,1518,2624
"51001090700",2013,188,21,18,9,63,25,0,0,0,0,1,10,102,9,59,23,9,34,0,0,0,4,35,0,154,23,20,3,1,128,70,18,5.008,0,236,184,9,321584.745762712,150.5,93771.4285714286,70500,80000,0.207792207792208,0.428571428571429,0,0.000164711657709797,82.3529411764706,17.6470588235294,16718,164.507936507937,148,236,9.74576271186441,0.25,65.2542372881356,14.8305084745763,0.423728813559322,4907,40.6599998474121,51600,106.550003051758,1518,2624
"51001090700",2014,111,19,18,11,66,17,0,0,0,0,1,15,63,5,46,12,14,19,0,0,3,3,27,0,97,19,10,1,2,106,31,12,2.13428571428571,0,159,124,4,154924.528301887,130,100200,67500,81000,0.247422680412371,0.444444444444444,0,0.000151000920386562,66.6666666666667,33.3333333333333,11634,182.227272727273,159,159,11.9496855345912,0.289308176100629,61.0062893081761,16.9811320754717,1.25786163522013,4907,40.6599998474121,52000,110.589996337891,1518,2624
"51001090700",2015,138,26,18,13,71,22,0,0,0,0,6,11,87,7,50,20,9,22,0,0,2,4,30,0,124,19,16,2,3,99,70,10,NA,0,195,154,2,154230.769230769,140,84488.2352941177,64500,70000,0.225806451612903,0.533333333333333,0.333333333333333,0.000170028142589118,71.264367816092,28.735632183908,14292,164.183098591549,142,195,9.74358974358974,0.256410256410256,63.5897435897436,15.3846153846154,1.53846153846154,4907,40.6599998474121,52700,110.589996337891,1518,2624
