Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,ObjectId,geometry
CVS Pharmacy 67,208 E Main St,NA,Charlottesville,VA,22902,5232,CHARLOTTESVILLE,164957,"c(-78.480492, 38.030453)"
CVS Pharmacy 74,2823 W Main St,NA,Waynesboro,VA,22980,1619,WAYNESBORO,164958,"c(-78.929382, 38.082367)"
Walmart Supercenter 4638,135 Stoneridge Dr,NA,Ruckersville,VA,22968,3088,GREENE,165062,"c(-78.370476, 38.23597)"
The Ole Country Store and Bakery,18019 Country Store Dr,NA,Culpeper,VA,22701,8019,CULPEPER,165121,"c(-78.03643, 38.456902)"
Yoder's Country Market Inc.,2105 S Seminole Trl,NA,Madison,VA,22727,2851,MADISON,165580,"c(-78.277504, 38.354935)"
North Augusta Farmers Market,18 Government Center Ln,NA,Verona,VA,24482,2639,AUGUSTA,166430,"c(-79.014862, 38.193527)"
CVS Pharmacy 1554,3420 Seminole Trl,NA,Charlottesville,VA,22911,8221,ALBEMARLE,166506,"c(-78.438042, 38.129993)"
Village Market,1805 East Side Hwy,Ste 103,Crimora,VA,24431,9998,AUGUSTA,167068,"c(-78.840843, 38.152309)"
Indian Bazar,722 Rio Rd W,Ste 1,Charlottesville,VA,22901,1454,ALBEMARLE,167325,"c(-78.475006, 38.083244)"
CVS Pharmacy 4656,1417 University Ave,NA,Charlottesville,VA,22903,2606,CHARLOTTESVILLE,167336,"c(-78.500206, 38.034462)"
7-eleven 39897b 39977B,701 Port Republic Rd,NA,Harrisonburg,VA,22801,3327,HARRISONBURG,167601,"c(-78.874977, 38.427353)"
Family Dollar Store 8303,602 N Main St,NA,Bridgewater,VA,22812,1627,ROCKINGHAM,168045,"c(-78.967453, 38.389408)"
CVS Pharmacy 7002,PO Box 1017,S. MAIN ST,Amherst,VA,24521,1017,AMHERST,168088,"c(-79.066032, 37.607029)"
7-Eleven Inc F 16764F,2025 Ivy Rd,NA,Charlottesville,VA,22903,1713,CHARLOTTESVILLE,168209,"c(-78.510506, 38.042027)"
Waynesboro Farmers Market,215 W Main St,NA,Waynesboro,VA,22980,4537,WAYNESBORO,168397,"c(-78.896996, 38.070923)"
Seven Day Jr,111 Maury Ave,NA,Charlottesville,VA,22903,3009,CHARLOTTESVILLE,168497,"c(-78.515678, 38.026436)"
Aldi 156,113 George Cochran Pkwy,NA,Staunton,VA,24401,9172,STAUNTON,168667,"c(-79.102005, 38.163643)"
Sheetz 637,1519 University Ave,NA,Charlottesville,VA,22903,2636,CHARLOTTESVILLE,169207,"c(-78.500748, 38.035206)"
CVS Pharmacy 7594,36115 Goodwin Dr,NA,Locust Grove,VA,22508,2029,ORANGE,169216,"c(-77.746262, 38.348267)"
Express Mart,6261 Lawyers Rd,NA,Spotsylvania,VA,22551,6319,SPOTSYLVANIA,170734,"c(-77.783173, 38.130264)"
Fas Mart 3510,1159 Millmont St,NA,Charlottesville,VA,22903,4868,CHARLOTTESVILLE,172132,"c(-78.500786, 38.054134)"
Dollar General 17675,2985 Rockfish Valley Hwy,NA,Nellysford,VA,22958,2311,NELSON,173280,"c(-78.872101, 37.891056)"
Mecca Halal Processing Inc,20508 Blackjack Rd,NA,Culpeper,VA,22701,7606,CULPEPER,173508,"c(-77.917068, 38.417023)"
Sunshine Minimart,827 Cherry Ave,NA,Charlottesville,VA,22903,3448,CHARLOTTESVILLE,174604,"c(-78.494324, 38.028797)"
Oakhill Market And Deli,675 Country Green Rd,NA,Charlottesville,VA,22902,6482,CHARLOTTESVILLE,174605,"c(-78.522522, 38.005371)"
Balli Food Mart,608 N Delphine Ave,NA,Waynesboro,VA,22980,4107,WAYNESBORO,176578,"c(-78.872215, 38.073662)"
7-Eleven Inc F 39448A,6260 Walton Way,NA,Mt. Crawford,VA,22841,NA,ROCKINGHAM,177004,"c(-78.921364, 38.359043)"
Staunton-augusta Health Department Farmer's Market,1414 N Augusta St,NA,Staunton,VA,24401,2401,STAUNTON,177280,"c(-79.066673, 38.163177)"
Go Mart 125,3529 Lee Jackson Highway,NA,Greenville,VA,24440,NA,AUGUSTA,177723,"c(-79.141418, 38.017632)"
Dollar General 22386,8080 Kentucky Springs Rd,NA,Mineral,VA,23117,4528,LOUISA,177910,"c(-77.817551, 38.04845)"
7-Eleven 19337C,910 N Main St,NA,Harrisonburg,VA,22802,4627,HARRISONBURG,177930,"c(-78.859291, 38.458553)"
Anae Shop,506 Stewart St,NA,Charlottesville,VA,22902,5440,CHARLOTTESVILLE,177934,"c(-78.464607, 38.031456)"
WAWA 8659,3267 Proffit Rd.,NA,Charlottesville,VA,22911,NA,ALBEMARLE,178139,"c(-78.434143, 38.132206)"
Dona Fer Grocery Store,1060 Virginia Ave,NA,Harrisonburg,VA,22802,2533,HARRISONBURG,178805,"c(-78.869614, 38.46302)"
Pic N Pac,12805 Spotswood Trail,NA,Ruckersville,VA,22968,3376,GREENE,180384,"c(-78.397903, 38.249813)"
Dollar General 12452,19 Market St,NA,Palmyra,VA,22963,5448,FLUVANNA,180500,"c(-78.311638, 37.899879)"
WAWA 8667,820 Pantops Corner Way,NA,Charlottesville,VA,22911,NA,ALBEMARLE,180901,"c(-78.429619, 38.032417)"
Family Dollar Store 10858,813 Chicago Ave,NA,Harrisonburg,VA,22802,5606,HARRISONBURG,181941,"c(-78.874825, 38.460167)"
Food Lion 2567,46 Madison Plaza Dr,NA,Madison,VA,22727,3049,MADISON,184248,"c(-78.270706, 38.365833)"
Walmart Supercenter 5117,116 Lucy Ln,NA,Waynesboro,VA,22980,3275,WAYNESBORO,184667,"c(-78.935135, 38.065891)"
7-Eleven 11136K,1849 Seminole Trl,NA,Charlottesville,VA,22901,1129,ALBEMARLE,184761,"c(-78.470497, 38.087341)"
DOLLARTREE 8745,502 East Main St,NA,Louisa,VA,23093,4100,LOUISA,185103,"c(-77.990417, 38.019051)"
GIANT FOOD 251,1900 Abbey Rd,NA,Charlottesville,VA,22911,3543,ALBEMARLE,186448,"c(-78.445396, 38.030239)"
Fas Mart 3525,101 Crofton Pl,NA,Palmyra,VA,22963,3300,FLUVANNA,188340,"c(-78.316605, 37.924713)"
Walmart Supercenter 1780,975 Hilltop Heights Rd,NA,Charlottesville,VA,22901,NA,ALBEMARLE,188625,"c(-78.493713, 38.07021)"
Gas & Stuff,18160 Constitution Hwy,NA,Orange,VA,22960,4402,ORANGE,188758,"c(-78.05899, 38.242409)"
Walmart 1726,171 Burgess Rd,NA,Harrisonburg,VA,22801,3704,HARRISONBURG,189642,"c(-78.84948, 38.43314)"
Food Lion 2542,83 Augusta Ave,NA,Grottoes,VA,24441,2507,ROCKINGHAM,190195,"c(-78.822044, 38.256554)"
7-eleven 39801A,1915 Boulderview Road,NA,Charlottesville,VA,22911,NA,ALBEMARLE,190797,"c(-78.447411, 38.031101)"
Family Dollar Store 10843,535 Mineral Ave,NA,Mineral,VA,23117,9997,LOUISA,191774,"c(-77.908852, 38.006477)"
Food Lion 596,14811 Spotswood Trl,NA,Elkton,VA,22827,3024,ROCKINGHAM,192586,"c(-78.651352, 38.405613)"
Dollar General 7497,4171 Lee Jackson Hwy,NA,Greenville,VA,24440,0405,AUGUSTA,194629,"c(-79.158188, 38.001743)"
7-eleven 36891B,6 Lodge Ln,NA,Verona,VA,24482,9449,AUGUSTA,195108,"c(-79.001236, 38.194637)"
Big Lots 5401,590 Branchlands Blvd,NA,Charlottesville,VA,22901,1791,ALBEMARLE,195223,"c(-78.479469, 38.073273)"
Little Quick Mart,1116B W Beverley St,NA,Staunton,VA,24401,3112,STAUNTON,195224,"c(-79.085732, 38.151386)"
Dollar General 2836,171 Ambriar S/C,NA,Amherst,VA,24521,4741,AMHERST,197532,"c(-79.064217, 37.564449)"
Dollar General 3919,1317 W Broad St,NA,Waynesboro,VA,22980,2435,WAYNESBORO,197569,"c(-78.898521, 38.072971)"
Dollar General 3138,465 Lee Hwy,NA,Verona,VA,24482,2571,AUGUSTA,197665,"c(-79.007332, 38.203003)"
Dollar General 1865,1013 Greenville Ave,NA,Staunton,VA,24401,5018,STAUNTON,197666,"c(-79.062973, 38.132145)"
Dollar General 1747,88 Main St,NA,Lovingston,VA,22949,NA,NELSON,198241,"c(-78.871994, 37.759815)"
Market Central,522 2nd St SE,NA,Charlottesville,VA,22902,5574,CHARLOTTESVILLE,198550,"c(-78.482216, 38.026115)"
Apple Market 509,1425 N Amherst Hwy,NA,Amherst,VA,24521,2571,AMHERST,198602,"c(-79.014465, 37.62056)"
Dollar General 4828,2217 W Beverley St,NA,Staunton,VA,24401,2903,STAUNTON,198816,"c(-79.101151, 38.155487)"
Dollar General 1360,21 Main St,NA,Dillwyn,VA,23936,3330,BUCKINGHAM,198820,"c(-78.473625, 37.543419)"
Dollar General 462,969 Valley St,NA,Scottsville,VA,24590,8002,ALBEMARLE,199556,"c(-78.49942, 37.805943)"
Food Lion 132,2411 W Beverley St,NA,Staunton,VA,24401,2905,STAUNTON,199941,"c(-79.106621, 38.154198)"
Food Lion 2600,2724 Fairground Rd,NA,Goochland,VA,23063,3103,GOOCHLAND,202233,"c(-77.885086, 37.697834)"
BELMONT MARKET,834 Monticello Rd,NA,Charlottesville,VA,22902,5762,CHARLOTTESVILLE,202565,"c(-78.473808, 38.023712)"
Food Lion 754,990 Hopeman Pkwy,NA,Waynesboro,VA,22980,NA,WAYNESBORO,202981,"c(-78.884399, 38.086685)"
Dollar General 2472,13260 James Madison Hwy,NA,Orange,VA,22960,2810,ORANGE,203100,"c(-78.122215, 38.224239)"
El Milagro Llc,620 Hawkins St,NA,Harrisonburg,VA,22801,4348,HARRISONBURG,204938,"c(-78.855011, 38.445934)"
7 Eleven 28552C,203 S Stuart Ave,NA,Elkton,VA,22827,1564,ROCKINGHAM,205111,"c(-78.618835, 38.40823)"
Mira Patel Llc NA,23 Scenic Hwy,NA,Churchville,VA,24421,2400,AUGUSTA,205197,"c(-79.168472, 38.230701)"
Food Lion 438,2576 Stuarts Draft Hwy,Ste 106,Stuarts Draft,VA,24477,3190,AUGUSTA,205491,"c(-79.03875, 38.033268)"
